epoch,cls_distill_loss,dfl_distill_loss,m2d2_distill_loss,box_reg_distill_loss,feat_l2_loss,feat_att_loss,feat_other_loss
1,0.006714,2.999504,2.944706,0.081548,1.001641,0.008149,0.159770
2,0.007632,2.492711,2.457710,0.082393,0.999118,0.013341,0.156444
3,0.006118,2.636209,2.598912,0.082296,0.989953,0.013859,0.152748
4,0.011405,3.194334,3.158128,0.081332,0.984059,0.008909,0.168871
5,0.009425,3.634561,3.576458,0.080600,0.986666,0.007706,0.151915
6,0.006255,3.051961,3.007799,0.080853,0.991695,0.013759,0.156897
7,0.009541,4.051668,3.920342,0.079585,1.003448,0.004699,0.163475
8,0.007612,2.595722,2.587619,0.082430,0.998732,0.015531,0.154166
9,0.010576,3.967808,3.778172,0.079968,0.999654,0.004909,0.157204
10,0.007049,2.964641,2.913092,0.080718,1.003151,0.009233,0.156778
