epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3
1,25.0127,1.0292,1.92698,1.34287,0.59476,0.85,0.84885,0.632,1.63551,1.06246,1.3769,0,0,0,0
2,38.6218,1.26321,2.46371,1.61166,0.57813,0.85,0.84751,0.63122,1.64477,1.0522,1.3776,1.07219e-06,1.07219e-06,1.07219e-06,1.07219e-06
3,52.1617,0.77706,2.09496,1.2017,0.59128,0.85,0.84923,0.65009,1.65803,1.05959,1.38087,1.90876e-06,1.90876e-06,1.90876e-06,1.90876e-06
4,65.148,0.98284,1.64552,1.24046,0.61379,0.85,0.84945,0.65005,1.65593,1.05438,1.37999,2.50971e-06,2.50971e-06,2.50971e-06,2.50971e-06
5,78.4828,0.74613,1.81756,1.10023,0.62354,0.85,0.87831,0.6536,1.63188,1.03569,1.3645,2.87504e-06,2.87504e-06,2.87504e-06,2.87504e-06
6,91.8367,1.22853,2.65602,1.52776,0.63748,0.85,0.8527,0.65152,1.60931,1.01937,1.34409,3.00475e-06,3.00475e-06,3.00475e-06,3.00475e-06
7,112.461,1.19473,1.95238,1.38658,0.65064,0.85,0.8529,0.6345,1.59392,1.01249,1.33599,2.89884e-06,2.89884e-06,2.89884e-06,2.89884e-06
8,127.981,0.93535,1.78185,1.30186,0.65128,0.85,0.87528,0.6372,1.60265,1.02058,1.34,2.55731e-06,2.55731e-06,2.55731e-06,2.55731e-06
9,146.159,1.08113,1.76505,1.31476,0.66069,0.85,0.85737,0.63533,1.57938,1.00526,1.32852,1.98016e-06,1.98016e-06,1.98016e-06,1.98016e-06
10,159.902,1.0584,2.26339,1.35188,0.66828,0.85,0.85532,0.6358,1.5692,0.99497,1.32192,1.16739e-06,1.16739e-06,1.16739e-06,1.16739e-06
