epoch,cls_distill_loss,dfl_distill_loss,m2d2_distill_loss,box_reg_distill_loss,feat_l2_loss,feat_att_loss,feat_other_loss
1,0.007188,2.931765,2.971177,0.080874,0.996838,0.007373,0.160879
2,0.007473,2.519434,2.539093,0.081752,1.007190,0.013572,0.162094
3,0.004808,2.581342,2.613995,0.081426,0.996245,0.017603,0.151843
4,0.010046,3.060397,3.043701,0.080583,1.007759,0.007845,0.171376
5,0.009752,3.628282,3.668566,0.080011,1.006079,0.006776,0.155694
6,0.005062,3.035592,3.082168,0.080269,1.014340,0.014629,0.159794
7,0.006558,3.877746,3.876209,0.078968,1.005615,0.003295,0.165043
8,0.008432,2.665584,2.691219,0.081943,1.002859,0.011250,0.162203
9,0.014295,3.925294,3.925356,0.079307,1.000690,0.004597,0.165218
10,0.006192,3.127053,3.120732,0.079986,1.022185,0.008411,0.159389
